"feature","identified_name","mean_no_severe_pgd","mean_severe_pgd","mean_overall","fold_change","p_value","p_value_fdr","unique_vals_no_severe","unique_vals_severe","unique_vals","unique_percentage","low_detect_likely","isomer","multi_mode_detection","n_no_severe_pgd","n_severe_pgd","sw_p_value","cv","gap_ratio","sig_ord","in_annot","annot_sig","annot_name","sig_ord_annot"
"C18_166.051_58","4-HYDROXY-L-PHENYLGLYCINE",15.9217791963189,16.0617616407714,15.939841447216,1.1018917073395,0.517188283594824,0.944431752443063,"54/54","8/8","62/62",100,"N","yes","",54,8,0.000415467638844568,0.0232281987021464,42.5231686206762,210,"Y","N",NA,NA
"C18_166.051_58","PYRIDOXAL",15.9217791963189,16.0617616407714,15.939841447216,1.1018917073395,0.517188283594824,0.944431752443063,"54/54","8/8","62/62",100,"N","yes","",54,8,0.000415467638844568,0.0232281987021464,42.5231686206762,211,"Y","N",NA,NA
"HILIC_385.1286_174.4","S-(5'-ADENOSYL)-L-HOMOCYSTEINE",18.3343861011409,18.4184157018992,18.345228630271,1.05997453139472,0.518819754046836,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.490339551562738,0.0206880620188434,21.9589594708685,212,"Y","N",NA,NA
"HILIC_113.1074_162.5","N-ACETYLPUTRESCINE",17.8548612994334,18.0719823851703,17.8828769233994,1.16241166491079,0.527317164834753,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.00240321779673119,0.063651690136054,35.8468467286234,213,"N","N",NA,NA
"HILIC_132.0655_181.6","chiro-Inositol",17.5976748668832,17.3346674807433,17.5637384299619,0.83334894066666,0.528978486486571,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.706249538939799,0.0568495481046064,12.1076749241896,214,"Y","N",NA,NA
"C18_421.136_134.4","RIBOFLAVIN",16.6928127993402,16.7980486065835,16.7063916131781,1.0756701934424,0.539747598218523,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,2.17200103972037e-05,0.0226224515696544,51.5832200986026,215,"N","N",NA,NA
"HILIC_103.039_158.1","2-OXOBUTANOATE",20.5482325996169,20.221987667014,20.506136479281,0.797609814631162,0.540380081670002,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.00813849714846637,0.0399651201230652,36.4269941163494,216,"Y","N",NA,NA
"C18_272.0887_50.2","DEOXYCYTIDINE",15.8381000806103,14.9883428440128,15.7284539855655,0.554878097942341,0.541722426011054,0.944431752443063,"47/54","6/8","53/62",85.5,"N",NA,"",54,8,2.59091807819258e-09,0.178737620727805,143.409220072838,217,"Y","N",NA,NA
"HILIC_171.0764_213.4","Ribothymidine",19.0391350377659,18.3244449247075,18.9469169586615,0.609336001485343,0.546557802143074,0.944431752443063,"53/54","7/8","60/62",96.8,"N",NA,"",54,8,3.27500791826569e-07,0.0984783988917189,113.882879066576,218,"N","N",NA,NA
"HILIC_192.0623_104.1","PYRIDOXINE",14.3592076669398,13.8786392679001,14.2971988412572,0.716695201796791,0.55145426016718,0.944431752443063,"53/54","7/8","60/62",96.8,"N",NA,"",54,8,2.62252612565019e-10,0.0849922809740854,114.830736597961,219,"N","N",NA,NA
"HILIC_180.1121_68.7","12,13-DiHOME",21.7807545259662,21.6874639398857,21.7687170309881,0.937382270914314,0.554945949921186,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,1.91201899045707e-06,0.0162479302039885,72.2071414840632,220,"N","N",NA,NA
"HILIC_192.0243_119.4","N-ACETYL-DL-SERINE",15.4643853945512,15.9702002132317,15.529651822768,1.41992508822977,0.559545964602737,0.944431752443063,"50/54","7/8","57/62",91.9,"N",NA,"",54,8,4.98591792257236e-06,0.114434313275273,68.9670463712328,221,"N","N",NA,NA
