"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Alkaloid biosynthesis II","10","6","1","2.3187","0.64992","0.89956",NA,"69","0.69","1","1",NA,"P56","EC0001245;EC0001248"
"Glyoxylate and Dicarboxylate Metabolism","12","5","1","2.3187","0.64992","0.89956",NA,"42","0.42","1","1",NA,"P57","EC000106;EC000109"
"Leukotriene metabolism","92","22","3","4.8031","0.66113","0.83684",NA,"46","0.46","1","1",NA,"P58","EC000209;EC00023;EC00026;EC0001524"
"Glycosphingolipid biosynthesis - ganglioseries","62","5","2","1.1594","0.68386","1",NA,"63","0.63","1","1",NA,"P59","EC00035"
"Parathio degradation","6","3","1","1.1594","0.68386","1",NA,"47","0.47","1","1",NA,"P60","EC000556"
"Nucleotide Sugar Metabolism","7","4","1","1.1594","0.68386","1",NA,"58","0.58","1","1",NA,"P61","EC000172"
"Pentose phosphate pathway","37","33","5","6.2937","0.70449","0.8483",NA,"41","0.41","1","1",NA,"P62","EC000716;EC000106;EC000109;EC00032;EC00035"
"Hyaluronan Metabolism","8","4","1","1.325","0.73193","1",NA,"72","0.72","1","1",NA,"P63","EC000172"
"N-Glycan Degradation","16","5","2","2.9812","0.78236","0.94813",NA,"75","0.75","1","1",NA,"P64","EC00032;EC00035"
"Fatty Acid Metabolism","63","11","3","4.4718","0.80051","0.9314",NA,"81","0.81","1","1",NA,"P65","EC000792;EC0001591;EC000678"
"D4&E4-neuroprostanes formation","37","33","1","1.6562","0.80733","1",NA,"76","0.76","1","1",NA,"P66","EC000333"
"Phosphatidylinositol phosphate metabolism","59","17","2","3.1468","0.80775","0.95604",NA,"75","0.75","1","1",NA,"P67","EC00035;EC00032"
"Sialic acid metabolism","107","23","6","4.6374","0.82067","0.9401",NA,"64","0.64","1","1",NA,"P68","EC00035;EC00032;EC00061"
"Pyrimidine metabolism","70","35","9","13.747","0.83237","0.90152",NA,"61","0.61","1","1",NA,"P69","EC000716;EC00058;EC00023;EC00026;EC000563;EC000295;EC000101;EC000104;EC000261;EC00047"
"CoA Catabolism","7","5","1","1.8219","0.83669","1",NA,"81","0.81","1","1",NA,"P70","EC000551"
"Phytanic acid peroxisomal oxidation","34","6","1","1.8219","0.83669","1",NA,"59","0.59","1","1",NA,"P71","EC0001372"
"Pentose and Glucuronate Interconversions","15","12","1","1.9875","0.86159","1",NA,"78","0.78","1","1",NA,"P72","EC000172"
"Vitamin B6 (pyridoxine) metabolism","11","6","2","3.6437","0.86882","0.97326",NA,"94","0.94","1","1",NA,"P73","EC000227;EC000271"
"Chondroitin sulfate degradation","37","6","1","2.1531","0.88271","1",NA,"82","0.82","1","1",NA,"P74","EC00035"
"Vitamin B5 - CoA biosynthesis from pantothenate","12","6","1","2.1531","0.88271","1",NA,"82","0.82","1","1",NA,"P75","EC000551"
"Purine metabolism","80","36","8","12.09","0.88629","0.94164",NA,"68","0.68","1","1",NA,"P76","EC00023;EC00026;EC000206;EC000245;EC000480;EC00058;EC000317;EC00047"
"Keratan sulfate degradation","68","4","1","2.3187","0.90061","1",NA,"93","0.93","1","1",NA,"P77","EC00035"
"Heparan sulfate degradation","34","6","1","2.3187","0.90061","1",NA,"84","0.84","1","1",NA,"P78","EC00035"
"Glycosphingolipid metabolism","67","19","5","6.2937","0.94323","0.98529",NA,"90","0.9","1","1",NA,"P79","EC00035;EC00032;EC00061"
"Drug metabolism - other enzymes","31","11","1","2.9812","0.94883","1",NA,"79","0.79","1","1",NA,"P80","EC0001359"
"Fatty acid activation","74","19","4","6.4593","0.94975","0.98726",NA,"97","0.97","1","1",NA,"P81","EC0001372;EC0001164;EC000678"
"Xenobiotics metabolism","110","49","5","10.103","0.9666","0.98852",NA,"85","0.85","1","1",NA,"P82","EC0001175;EC000556;EC000172;EC000467;EC000792"
"Linoleate metabolism","46","29","10","10.434","0.97318","0.99105",NA,"100","1","1","1",NA,"P83","EC000937;EC0001264;EC0001260;EC0001164;EC000172"
"Histidine metabolism","33","22","4","10.434","0.97318","0.99105",NA,"93","0.93","1","1",NA,"P84","EC00023;EC00026;EC000871;EC000128;EC000322"
