"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Urea cycle/amino group metabolism","85","39","39","126.86","1","1","1","100","1","1","1","1","P43","EC00023;EC00024;EC00025;EC00026;EC000151;EC000152;EC000153;EC000154;EC000703;EC000704;EC000705;EC00019;EC00020;EC000548;EC000549;EC000550;EC000440;EC000441;EC000142;EC00056;EC00057;EC000289;EC000290;EC000291;EC000882;EC000883;EC000884;EC000885;EC000837;EC000838;EC000839;EC000840;EC000841;EC000842;EC000843;EC000949;EC000950;EC000951;EC000952;EC000953;EC000525;EC000365;EC000366;EC000367;EC000368;EC000369;EC000370;EC000371;EC000398;EC000399;EC000471;EC000472;EC000473;EC0001004;EC000280;EC00068;EC00069;EC00070;EC00071;EC000437;EC000270;EC000271;EC000272;EC00039;EC00040;EC00041;EC00017;EC000300;EC000301;EC000302;EC000785;EC000786;EC000438;EC000649;EC000650;EC000651;EC00027;EC00028;EC00029;EC000222;EC000360;EC000361;EC000362;EC000363;EC000364;EC000692;EC000693;EC000864;EC000669;EC000670;EC000671;EC000672;EC000673;EC000543;EC000544;EC000545;EC000546;EC000547;EC000275;EC000276;EC000277;EC000278;EC000279;EC00048;EC00049;EC00050;EC00072;EC00073;EC00074;EC000335;EC000336;EC000337;EC000338;EC0001625;EC0001626;EC0001627"
"De novo fatty acid biosynthesis","106","17","17","43.744","1","1","1","100","1","1","1","1","P44","EC00018;EC000696;EC000697;EC000698;EC000699;EC000700;EC000517;EC000518;EC000519;EC000520;EC0001197;EC0001198;EC0001199;EC000713;EC000714;EC000715;EC0001195;EC0001196;EC000230;EC000231;EC000232;EC0001200;EC0001201;EC000762;EC0001248;EC0001249;EC0001415;EC000811;EC000812;EC000813;EC000858;EC000859;EC000860;EC000861;EC000213;EC000214;EC000706;EC000707;EC000708;EC000709"
"Vitamin A (retinol) metabolism","67","24","24","28.434","1","1","1","100","1","1","1","1","P45","EC0001332;EC0001333;EC000319;EC0001515;EC000531;EC000532;EC000762;EC0001501;EC0001502;EC0001404;EC0001405;EC000175;EC000176;EC00018;EC000397;EC0001255;EC000971;EC000972;EC000973;EC0001555;EC0001556;EC0001540;EC0001499;EC0001500;EC000340;EC000341"
"Valine, leucine and isoleucine degradation","65","25","25","54.68","1","1","1","100","1","1","1","1","P46","EC00023;EC00024;EC00025;EC00026;EC00027;EC00028;EC00029;EC00018;EC000102;EC000103;EC000104;EC000105;EC000106;EC000138;EC000139;EC000140;EC000141;EC000946;EC000122;EC000123;EC000124;EC000125;EC000984;EC000985;EC000986;EC000189;EC000190;EC000191;EC000192;EC00042;EC00043;EC000617;EC000618;EC000619;EC000215;EC000216;EC000217;EC000218;EC000219;EC000220;EC000620;EC0001451;EC0001517;EC0001518;EC0001519;EC000228;EC000229;EC000300;EC000301;EC000302"
"Fatty Acid Metabolism","63","11","11","29.527","1","1","1","100","1","1","1","1","P47","EC000800;EC000713;EC000714;EC000715;EC000281;EC000282;EC000811;EC000812;EC000813;EC0001195;EC0001196;EC0001642;EC000230;EC000231;EC000232;EC000706;EC000707;EC000708;EC000709;EC000696;EC000697;EC000698;EC000699;EC000700;EC000196;EC0001610;EC0001611"
"Fatty acid oxidation","35","1","1","1.0936","1","1","1","100","1","1","1","1","P48","EC0001415"
"Fructose and mannose metabolism","33","22","22","27.34","1","1","1","100","1","1","1","1","P49","EC000310;EC000193;EC000194;EC00088;EC000623;EC000624;EC000625;EC000626;EC000627;EC00033;EC00034;EC00035;EC000107;EC000108;EC000109;EC000110;EC000111;EC00031;EC00032;EC000666;EC000551;EC000552;EC000553;EC000554;EC000844"
"Xenobiotics metabolism","110","49","49","68.897","1","1","1","100","1","1","1","1","P50","EC0001231;EC0001150;EC00051;EC0005;EC0006;EC000803;EC000804;EC000805;EC0001316;EC0001315;EC0001208;EC0001209;EC0001210;EC0001211;EC0001317;EC000571;EC000572;EC000573;EC0001324;EC0001195;EC0001196;EC000230;EC000231;EC000232;EC0001320;EC0001262;EC000175;EC000176;EC0001267;EC000849;EC0001309;EC0001310;EC0001311;EC000481;EC000482;EC0001312;EC0001313;EC0001323;EC0001212;EC0001321;EC0001322;EC0001263;EC0001264;EC000811;EC000812;EC000813;EC0001325;EC0001186;EC0001187;EC0001291;EC0001331;EC0001330;EC0001329;EC0001327;EC0001328;EC0001326;EC000725;EC000726;EC000727;EC0001318;EC0001319;EC0001292;EC0001293"
"Saturated fatty acids beta-oxidation","36","4","4","7.6552","1","1","1","100","1","1","1","1","P51","EC000845;EC0001001;EC000281;EC000282;EC000230;EC000231;EC000232"
"CoA Catabolism","7","6","6","13.123","1","1","1","100","1","1","1","1","P52","EC000722;EC00018;EC000558;EC000559;EC000565;EC000566;EC000567;EC000568;EC000569;EC000570;EC000648;EC000574"
"Omega-3 fatty acid metabolism","39","7","7","14.217","1","1","1","100","1","1","1","1","P53","EC00018;EC0001349;EC0001350;EC0001351;EC000974;EC000975;EC000976;EC000977;EC0001197;EC0001198;EC0001199;EC0001352;EC0001507"
