"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Squalene and cholesterol biosynthesis","55","17","3","2.1239","0.59371","0.87097","0.038661","0","0","1","1","1","P39","EC000128;EC000343"
"Starch and Sucrose Metabolism","33","16","4","2.1239","0.59371","0.87097","0.038661","0","0","1","1","1","P40","EC000529;EC00032"
"Tyrosine metabolism","160","86","24","22.58","0.60321","0.68597","0.040091","100","1","1","1","1","P41","EC00027;EC000632;EC000633;EC000788;EC000276;EC000435;EC00077;EC00083;EC00085;EC000172;EC00059;EC0001056;EC000312;EC0001089;EC000704;EC000705;EC0001069;EC0001062;EC0001076;EC0001377"
"Vitamin H (biotin) metabolism","5","4","1","1.0061","0.62204","1","0.043114","0","0","1","1","1","P42","EC000118"
"Propanoate metabolism","31","10","1","2.2357","0.62238","0.88423","0.043171","0","0","1","1","1","P43","EC000617;EC000618"
"Aminosugars metabolism","69","19","2","3.6889","0.67216","0.86481","0.052607","93","0.93","1","1","1","P44","EC000294;EC000296;EC00059"
"Vitamin B6 (pyridoxine) metabolism","11","6","2","2.4593","0.67503","0.90683","0.053224","100","1","1","1","1","P45","EC000238;EC000276"
"Arginine and Proline Metabolism","45","26","8","8.4956","0.67532","0.80307","0.053289","100","1","1","1","1","P46","EC00027;EC000884;EC000838;EC000360;EC000362;EC00059;EC000335"
"Vitamin B1 (thiamin) metabolism","20","7","1","1.2296","0.69577","1","0.057965","71","0.71","1","1","1","P47","EC00027"
"Glycosphingolipid biosynthesis - globoseries","16","6","1","1.2296","0.69577","1","0.057965","3","0.03","1","1","1","P48","EC00032"
"CoA Catabolism","7","6","1","1.3414","0.72708","1","0.066174","6","0.06","1","1","1","P49","EC000566"
"Glutamate metabolism","15","12","3","4.136","0.747","0.9042","0.072185","100","1","1","1","1","P50","EC00027;EC00059;EC000884"
"Vitamin B5 - CoA biosynthesis from pantothenate","12","6","1","1.4532","0.75518","1","0.074858","4","0.04","1","1","1","P51","EC000566"
"Vitamin A (retinol) metabolism","67","24","4","2.9064","0.76243","0.93971","0.077335","0","0","1","1","1","P52","EC000762;EC000971"
"Pentose phosphate pathway","37","33","5","4.2478","0.76345","0.91223","0.077693","36","0.36","1","1","1","P53","EC000736;EC000107;EC00032"
"Aspartate and asparagine metabolism","114","63","11","15.314","0.76508","0.84441","0.07827","100","1","1","1","1","P54","EC00027;EC000360;EC000362;EC000864;EC0001439;EC0001440;EC000335;EC00059;EC000617;EC000618;EC000874;EC000838"
"Pyruvate Metabolism","20","8","2","1.565","0.78041","1","0.083976","99","0.99","1","1","1","P55","EC000107"
"Alkaloid biosynthesis II","10","6","1","1.565","0.78041","1","0.083976","100","1","1","1","1","P56","EC0001283"
"Glyoxylate and Dicarboxylate Metabolism","12","5","1","1.565","0.78041","1","0.083976","97","0.97","1","1","1","P57","EC000107"
"TCA cycle","31","11","1","1.7886","0.82337","1","0.10335","100","1","1","1","1","P58","EC00027"
"Nitrogen metabolism","6","4","1","1.7886","0.82337","1","0.10335","100","1","1","1","1","P59","EC00059"
"Prostaglandin formation from arachidonate","78","44","8","4.8067","0.83312","0.94376","0.10861","0","0","1","1","1","P60","EC000608;EC0001514;EC000214"
"Tryptophan metabolism","94","55","12","13.191","0.87221","0.9289","0.1343","100","1","1","1","1","P61","EC00027;EC0001103;EC000293;EC000814;EC000490;EC00075;EC000615;EC00098;EC000917"
"Pyrimidine metabolism","70","35","7","9.5017","0.88411","0.94582","0.14401","100","1","1","1","1","P62","EC000736;EC000643;EC00059;EC000265;EC000267;EC000324"
"Phosphatidylinositol phosphate metabolism","59","18","1","2.2357","0.88582","1","0.1455","9","0.09","1","1","1","P63","EC00032"
"Carbon fixation","10","9","2","2.2357","0.88582","1","0.1455","100","1","1","1","1","P64","EC000107"
"Methionine and cysteine metabolism","94","32","5","6.9306","0.89419","0.96074","0.15317","100","1","1","1","1","P65","EC00027;EC000324;EC000429;EC0001341"
"Drug metabolism - cytochrome P450","53","32","3","5.5892","0.90077","0.9704","0.15969","1","0.01","1","1","1","P66","EC0001230;EC0001377;EC000998"
"Alanine and Aspartate Metabolism","30","17","2","4.136","0.90612","0.98189","0.16534","100","1","1","1","1","P67","EC00027;EC00059"
"Bile acid biosynthesis","82","33","2","4.2478","0.91404","0.98377","0.17439","0","0","1","1","1","P68","EC000967;EC0001406"
"Selenoamino acid metabolism","35","12","1","2.571","0.91774","1","0.17893","0","0","1","1","1","P69","EC0001120"
"Purine metabolism","80","37","4","8.2721","0.95556","0.98581","0.24271","100","1","1","1","1","P70","EC000683;EC000494;EC00059;EC000326"
"Sialic acid metabolism","107","24","3","3.2418","0.9574","1","0.24705","0","0","1","1","1","P71","EC00032"
"Beta-Alanine metabolism","20","12","1","3.4653","0.9658","1","0.26954","100","1","1","1","1","P72","EC00027"
"Histidine metabolism","33","22","2","7.1542","0.96781","0.9922","0.27567","100","1","1","1","1","P73","EC00027;EC000994;EC000996"
"Glycine, serine, alanine and threonine metabolism","88","39","3","9.1663","0.97606","0.99301","0.30527","100","1","1","1","1","P74","EC00027;EC000192;EC000360;EC000362"
"Vitamin B3 (nicotinate and nicotinamide) metabolism","28","20","1","3.9125","0.97799","1","0.31355","100","1","1","1","1","P75","EC00059"
"Glycosphingolipid metabolism","67","21","2","4.3596","0.98585","1","0.35587","15","0.15","1","1","1","P76","EC00032"
"Xenobiotics metabolism","110","49","4","7.0424","0.99903","1","0.56646","100","1","1","1","1","P77","EC0001267"
