"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Histidine metabolism","33","22","5","7.5421","0.70509","0.83443","0.059959","100","1","1","1","1","P56","EC00023;EC00024;EC000131;EC0001129;EC000994;EC000331"
"Glycosphingolipid biosynthesis - globoseries","16","6","1","1.2963","0.71587","1","0.062728","0","0","1","1","1","P57","EC00032"
"Arachidonic acid metabolism","95","51","8","4.0067","0.72759","0.89475","0.065928","0","0","1","1","1","P58","EC00023;EC00024;EC000608"
"Selenoamino acid metabolism","35","12","2","2.7104","0.72775","0.92759","0.065973","0","0","1","1","1","P59","EC00062;EC0001120"
"Pentose and Glucuronate Interconversions","15","12","2","1.4141","0.74669","1","0.071613","50","0.5","1","1","1","P60","EC000321"
"Fatty acid activation","74","19","3","4.596","0.80987","0.9339","0.095799","16","0.16","1","1","1","P61","EC0001415;EC000707;EC000697"
"Methionine and cysteine metabolism","94","32","5","7.3064","0.8169","0.91448","0.099156","96","0.96","1","1","1","P62","EC00023;EC00024;EC000226;EC000771;EC00062"
"Glycolysis and Gluconeogenesis","49","26","4","3.2997","0.82254","0.9593","0.10197","99","0.99","1","1","1","P63","EC000576;EC00032"
"Sialic acid metabolism","107","24","4","3.4175","0.83753","0.96374","0.11005","0","0","1","1","1","P64","EC00032;EC00062"
"Prostaglandin formation from arachidonate","78","44","6","5.0673","0.85973","0.95488","0.12386","0","0","1","1","1","P65","EC0001545;EC000608;EC0001156"
"N-Glycan Degradation","16","5","1","2.1212","0.87303","1","0.13346","65","0.65","1","1","1","P66","EC00032"
"Propanoate metabolism","31","10","1","2.3569","0.8992","1","0.15623","54","0.54","1","1","1","P67","EC000617"
"Phosphatidylinositol phosphate metabolism","59","18","1","2.3569","0.8992","1","0.15623","5","0.05","1","1","1","P68","EC00032"
"Xenobiotics metabolism","110","49","5","7.4242","0.92279","0.97307","0.18314","99","0.99","1","1","1","P69","EC0001324;EC000481;EC000812;EC0001187"
"Glycerophospholipid metabolism","156","43","6","10.37","0.92816","0.96894","0.19047","0","0","1","1","1","P70","EC000349;EC0001115;EC000503;EC00062;EC000707;EC00032"
"Pentose phosphate pathway","37","33","2","4.4781","0.9289","0.98721","0.19153","69","0.69","1","1","1","P71","EC000256;EC00032"
"Glycosphingolipid metabolism","67","21","3","4.596","0.93534","0.98862","0.20121","2","0.02","1","1","1","P72","EC00032;EC00062"
"Pyrimidine metabolism","70","35","5","10.017","0.96245","0.98657","0.25644","100","1","1","1","1","P73","EC00059;EC00023;EC00024;EC000267;EC00048"
