"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Vitamin B1 (thiamin) metabolism","20","7","2","2.3185","0.65682","0.90509","0.051243","77","0.77","1","1","1","P51","EC00018;EC00027"
"Fatty acid oxidation, peroxisome","28","2","1","1.0539","0.65767","1","0.051417","99","0.99","1","1","1","P52","EC00027"
"Biopterin metabolism","22","8","2","3.5832","0.66486","0.86722","0.052916","100","1","1","1","1","P53","EC00077;EC00083;EC00085"
"Vitamin B3 (nicotinate and nicotinamide) metabolism","28","20","6","7.3771","0.69397","0.83227","0.05956","100","1","1","1","1","P54","EC00023;EC00024;EC00018;EC00059;EC000241;EC0001144"
"Vitamin B9 (folate) metabolism","33","9","2","3.7939","0.70428","0.88787","0.062159","0","0","1","1","1","P55","EC00023;EC00024;EC000496"
"Histidine metabolism","33","22","9","13.49","0.71651","0.81589","0.065433","100","1","1","1","1","P56","EC00023;EC00024;EC00027;EC00018;EC000990;EC000496;EC000131;EC000185;EC000994;EC000996;EC000331"
"C5-Branched dibasic acid metabolism","10","3","2","1.2646","0.72385","1","0.067505","100","1","1","1","1","P57","EC000404"
"Lipoate metabolism","8","2","1","1.2646","0.72385","1","0.067505","99","0.99","1","1","1","P58","EC0001465"
"Squalene and cholesterol biosynthesis","55","17","4","4.0047","0.74006","0.90551","0.072385","0","0","1","1","1","P59","EC000128;EC000343;EC000880"
"Galactose metabolism","41","31","9","7.7987","0.74673","0.8674","0.074528","0","0","1","1","1","P60","EC00032;EC000551;EC000552;EC000553;EC000554;EC000107"
"Alanine and Aspartate Metabolism","30","17","5","7.7987","0.74673","0.8674","0.074528","100","1","1","1","1","P61","EC00023;EC00024;EC00027;EC00018;EC000591;EC00059"
"Propanoate metabolism","31","10","2","4.2155","0.77233","0.92054","0.083562","0","0","1","1","1","P62","EC00018;EC000617;EC000618"
"Vitamin B2 (riboflavin) metabolism","8","3","1","1.4754","0.77727","1","0.085475","0","0","1","1","1","P63","EC00018"
"Parathio degradation","6","3","1","1.4754","0.77727","1","0.085475","100","1","1","1","1","P64","EC000571"
"Alkaloid biosynthesis II","10","6","2","2.9508","0.78449","0.95022","0.088374","100","1","1","1","1","P65","EC00018;EC0001283"
"Ascorbate (Vitamin C) and Aldarate Metabolism","29","20","6","8.2202","0.79263","0.89614","0.091806","86","0.86","1","1","1","P66","EC000453;EC000454;EC000768;EC00066;EC000169;EC000555"
"Xenobiotics metabolism","110","49","14","13.279","0.80313","0.88313","0.096508","100","1","1","1","1","P67","EC0001150;EC0006;EC000803;EC0001315;EC0001317;EC000571;EC0001267;EC000481;EC0001264;EC000812"
"Glycolysis and Gluconeogenesis","49","26","8","5.9017","0.81844","0.92782","0.10399","100","1","1","1","1","P68","EC000576;EC00018;EC000107;EC00032"
"TCA cycle","31","11","3","3.3724","0.84456","0.96765","0.11882","100","1","1","1","1","P69","EC00027;EC000169"
"Selenoamino acid metabolism","35","12","3","4.8478","0.84991","0.95324","0.12224","0","0","1","1","1","P70","EC00018;EC000474;EC0001120"
"Methionine and cysteine metabolism","94","32","10","13.068","0.87373","0.93245","0.13945","100","1","1","1","1","P71","EC00023;EC00024;EC00027;EC00018;EC000324;EC000651;EC000429;EC00071;EC0001341"
"Beta-Alanine metabolism","20","12","3","6.534","0.87646","0.95494","0.14167","100","1","1","1","1","P72","EC00023;EC00024;EC000131;EC00027"
"Bile acid biosynthesis","82","33","7","8.0094","0.88433","0.95266","0.14838","0","0","1","1","1","P73","EC000967;EC000754;EC00018;EC0001406;EC000794"
"Pentose phosphate pathway","37","33","7","8.0094","0.88433","0.95266","0.14838","85","0.85","1","1","1","P74","EC000736;EC00018;EC000107;EC00032;EC000508"
"Glycosphingolipid biosynthesis - globoseries","16","6","1","2.3185","0.90589","1","0.1697","7","0.07","1","1","1","P75","EC00032"
"Starch and Sucrose Metabolism","33","16","4","4.0047","0.90658","0.98307","0.17047","0","0","1","1","1","P76","EC000529;EC00032"
"Phosphatidylinositol phosphate metabolism","59","18","2","4.2155","0.9215","0.98636","0.18873","11","0.11","1","1","1","P77","EC000681;EC00032"
"Purine metabolism","80","37","10","15.597","0.92978","0.96397","0.20051","100","1","1","1","1","P78","EC00023;EC00024;EC00018;EC000683;EC000734;EC000508;EC000494;EC00059;EC000326;EC00066"
"Glycine, serine, alanine and threonine metabolism","88","39","10","17.284","0.94152","0.96961","0.21985","100","1","1","1","1","P79","EC00023;EC00024;EC00027;EC00018;EC000192;EC00071;EC000360;EC000362;EC00072;EC0001168;EC000200"
"Pyruvate Metabolism","20","8","2","2.9508","0.95075","1","0.23799","100","1","1","1","1","P80","EC000107"
"Glyoxylate and Dicarboxylate Metabolism","12","5","1","2.9508","0.95075","1","0.23799","100","1","1","1","1","P81","EC000107"
"Pyrimidine metabolism","70","35","11","17.916","0.95719","0.9785","0.2527","100","1","1","1","1","P82","EC000736;EC000643;EC00059;EC00018;EC00023;EC00024;EC000185;EC000265;EC000267;EC000324;EC000508"
"Carbon fixation","10","9","2","4.2155","0.98657","1","0.36852","100","1","1","1","1","P83","EC000107"
"Glycosphingolipid metabolism","67","21","3","8.2202","0.98832","0.9977","0.38153","15","0.15","1","1","1","P84","EC000442;EC000448;EC00032"
"Drug metabolism - other enzymes","31","14","1","4.4263","0.98919","1","0.38867","100","1","1","1","1","P85","EC0001397"
"Sialic acid metabolism","107","24","3","6.1125","0.99811","1","0.5305","0","0","1","1","1","P86","EC00032"
