"","identified_name","isomer","feature","feature_mode","feature_mz","feature_rt","library_mode","library_mz","library_rt","adduct","kegg_id","mz_error_ppm","rt_error_sec","rt_error_abs_sec","unique_match","MMD"
"147","CORTISONE",NA,"C18_405.1911_151.9","C18",405.1911,151.9,"C18",405.191901,152.140158,"M+FA-H","C00762",-1.97684109181439,-0.240158000000008,0.240158000000008,TRUE,""
"148","CORTISOL",NA,"C18_407.2083_151.3","C18",407.2083,151.3,"C18",407.207501,153.490116,"M+FA-H","C00735",1.96214460211793,-2.19011599999999,2.19011599999999,TRUE,""
"149","CHOLATE",NA,"C18_407.2798_192.3","C18",407.2798,192.3,"C18",407.280324,163.116744,"M-H","C00695",-1.28658314459705,29.183256,29.183256,TRUE,""
"150","3-ALPHA,11-BETA,17-ALPHA,21-TETRAHYDROXY- 5-ALPHA-PREGNAN-20-ONE",NA,"C18_411.239_168.8","C18",411.239,168.8,"C18",411.238801,145.82436,"M+FA-H","C05472",0.483903754870447,22.97564,22.97564,TRUE,""
"151","NERVONIC ACID",NA,"C18_411.3475_211.7","C18",411.3475,211.7,"C18",411.348001,215.874936,"M+FA-H","C08323",-1.21794684492864,-4.174936,4.174936,TRUE,""
"152","Tyrosol",NA,"C18_413.1976_176","C18",413.1976,176,"C18",413.196963,176.7,"3M-H","C06044",1.541637662134,-0.699999999999989,0.699999999999989,TRUE,""
"153","RIBOFLAVIN",NA,"C18_421.136_134.4","C18",421.136,134.4,"C18",421.136501,135.888336,"M+FA-H","C00255",-1.18963803611421,-1.488336,1.488336,TRUE,""
"154","Chenodeoxycholic acid glycine conjugate",NA,"C18_448.3064_150.5","C18",448.3064,150.5,"C18",448.306848,147.3,"M-H","C05466",-0.999315540247507,3.19999999999999,3.19999999999999,TRUE,""
"155","Hydroxyoctanoic acid",NA,"C18_479.3223_178.7","C18",479.3223,178.7,"C18",479.322557,176.5,"3M-H",NA,-0.536173389464036,2.19999999999999,2.19999999999999,TRUE,""
"156","CYTIDINE",NA,"C18_483.151_146.8","C18",483.151,146.8,"C18",483.149172,141.328824,"2M-3H","C00475",3.78351057173924,5.47117600000001,5.47117600000001,TRUE,""
"157","Taurocholic acid",NA,"C18_514.2835_143.2","C18",514.2835,143.2,"C18",514.284397,142.1,"M-H","C05122",-1.74417113418479,1.09999999999999,1.09999999999999,TRUE,""
"158","ESTRADIOL-17ALPHA",NA,"C18_541.3344_164.9","C18",541.3344,164.9,"C18",541.333372,156.02025,"2M-3H","C02537",1.89901464250695,8.87975,8.87975,TRUE,""
"159","2-OXOBUTANOATE",NA,"HILIC_103.039_158.1","HILIC",103.039,158.1,"HILIC",103.038976,129.439044,"M+H","C00109",0.2329215693705,28.660956,28.660956,TRUE,""
"160","7-Methylguanine",NA,"HILIC_104.0534_49.2","HILIC",104.0534,49.2,"HILIC",104.05308,48.4,"M+ACN+2H","C02242",3.07535346384842,0.800000000000004,0.800000000000004,TRUE,""
"161","1-Methylhistamine",NA,"HILIC_109.076_186.2","HILIC",109.076,186.2,"HILIC",109.076025,181.3,"M+H-NH3","C05127",-0.229197937933064,4.89999999999998,4.89999999999998,TRUE,""
"162","2-AMINOPHENOL",NA,"HILIC_110.0601_62.9","HILIC",110.0601,62.9,"HILIC",110.060076,57.5945556,"M+H","C01987",0.218062724311222,5.3054444,5.3054444,TRUE,""
"163","CYTOSINE",NA,"HILIC_112.0506_150.9","HILIC",112.0506,150.9,"HILIC",112.050576,145.708278,"M+H","C00380",0.214188992622842,5.191722,5.191722,TRUE,""
