Chemical_name	mz	time	Qstd4	adduct	KEGGID	best_quant_mode
CARNOSINE	227.1139	107	0.021	M+H	C00386	HILIC
BUTYRYLCARNITINE	232.1543	45	0.12	M+H	C02862	HILIC
GLUCURONIC ACID	239.0138	75	0.41	M+2Na-H	C00191	HILIC
CYSTINE	241.0311	211	130	M+H	C00491	HILIC
ANSERINE	241.1295	102	0.029	M+H	C01262	HILIC
CYTIDINE DIPHOSPHOCHOLINE	245.0609	297	0.17	M+2H	C00307	HILIC
URIDINE	245.0768	43	2.7	M+H	C00299	HILIC
GLYCEROPHOSPHOCHOLINE	258.1101	104	4.6	M+H	C00670	HILIC
HEXANOYLCARNITINE	260.1857	42	0.067	M+H		HILIC
ADENOSINE	268.1041	44	0.0094	M+H	C00212	HILIC
INOSINE	269.088	48	0.54	M+H	C00294	C18
RETINOL	269.2264	26	6.1	M-H2O+H	C00473	HILIC
OCTANOYLCARNITINE	288.217	39	0.11	M+H	C02838	HILIC
SPHINGOSINE	300.2897	28	0.00077	M+H	C00319	HILIC
SPHINGANINE	302.3054	26	0.0085	M+H	C00836	HILIC
N-ACETYLNEURAMINATE	310.1133	77	1.4	M+H	C00270	C18
DECANOYLCARNITINE	316.2483	39	0.17	M+H		HILIC
LAUROYLCARNITINE	344.2795	27	0.065	M+H	CA1406	HILIC
ADENOSINE MONOPHOSPHATE	348.0704	148	0.16	M+H	C00020	HILIC
CORTISOL	363.2166	30	0.42	M+H	C00735	HILIC
GUANOSINE MONOPHOSPHATE	364.0653	256	0.2	M+H	C00144	HILIC
DISACCHARIDE (LACTOSE)	365.1054	78	14	M+Na	C00243	HILIC
CHOLESTEROL	369.352	27	1700	M-H2O+H	C00187	HILIC
RIBOFLAVIN	377.1456	45	0.017	M+H	C00255	HILIC
S-ADENOSYLHOMOCYSTEINE	385.1289	80	0.01	M+H	C00021	HILIC
PALMITOYLCARNITINE	400.3421	36	0.13	M+H	C02990	HILIC
GLYCOCHOLATE	466.3163	38	0.45	M+H	C01921	HILIC
BILIVERDIN	583.2551	28	2.8	M+H	C00500	HILIC
BILIRUBIN	585.2708	26	4	M+H	C00486	HILIC
TETRASACCHARIDE(GLYCOGEN-STACHYOSE)	689.2111	250	0.16	M+Na	C01613	HILIC
