"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Glycolysis and Gluconeogenesis","49","26","5","6.1279","0.94056","0.98492","0.21704","100","1","1","1","1","P76","EC000576;EC00018;EC00032"
"Vitamin B3 (nicotinate and nicotinamide) metabolism","28","20","3","7.6599","0.94162","0.98157","0.21893","100","1","1","1","1","P77","EC00023;EC00024;EC00018;EC00059"
"Drug metabolism - other enzymes","31","14","2","4.596","0.94362","0.99096","0.22261","100","1","1","1","1","P78","EC0001397;EC000943"
"Chondroitin sulfate degradation","37","6","1","2.8451","0.94579","1","0.22675","93","0.93","1","1","1","P79","EC00054"
"Heparan sulfate degradation","34","6","1","3.064","0.95673","1","0.2504","94","0.94","1","1","1","P80","EC00054"
"Alanine and Aspartate Metabolism","30","17","3","8.0976","0.9569","0.98706","0.25082","100","1","1","1","1","P81","EC00023;EC00024;EC00018;EC00059"
"Selenoamino acid metabolism","35","12","2","5.0337","0.96124","0.99424","0.26188","0","0","1","1","1","P82","EC00018;EC0001120"
"Pentose phosphate pathway","37","33","4","8.3165","0.96308","0.98917","0.26691","96","0.96","1","1","1","P83","EC000736;EC00018;EC000256;EC00032"
"Pyrimidine metabolism","70","35","10","18.603","0.98618","0.99403","0.36443","100","1","1","1","1","P84","EC000736;EC000643;EC00059;EC00018;EC00023;EC00024;EC000302;EC000185;EC000267;EC000324"
"Phosphatidylinositol phosphate metabolism","59","18","1","4.3771","0.98884","1","0.38435","74","0.74","1","1","1","P85","EC00032"
"Carbon fixation","10","9","1","4.3771","0.98884","1","0.38435","100","1","1","1","1","P86","EC000256"
"Glycosphingolipid metabolism","67","21","4","8.5354","0.99117","0.99833","0.40548","23","0.23","1","1","1","P87","EC000448;EC00032;EC00054"
"Sialic acid metabolism","107","24","3","6.3468","0.99855","1","0.54793","2","0.02","1","1","1","P88","EC00032"
